Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 18:15:59,790,790,801,778,771,-2.76,0.52,10.23,-0.04,-0.05,-0.03
2024-12-25 18:15:59,789,786,793,776,770,-2.73,0.46,10.17,-0.06,0.02,-0.02
2024-12-25 18:15:59,791,781,792,774,771,-2.36,0.53,10.27,0.17,-0.24,-0.02
2024-12-25 18:15:59,786,776,789,769,769,-2.23,0.78,10.40,-0.11,-0.07,-0.04
2024-12-25 18:15:59,786,777,785,769,769,-2.33,0.74,10.29,0.02,-0.02,-0.05
2024-12-25 18:15:59,788,778,789,769,770,-2.13,0.61,10.26,0.03,0.00,-0.02
2024-12-25 18:15:59,787,778,789,769,768,-2.21,0.82,10.27,-0.04,-0.03,0.04
2024-12-25 18:15:59,788,781,789,769,769,-2.11,0.98,10.38,-0.04,0.01,0.00
2024-12-25 18:15:59,790,781,792,768,769,-2.08,0.89,10.23,-0.02,-0.03,0.01
2024-12-25 18:15:59,789,783,792,768,770,-1.89,0.95,10.37,-0.04,0.01,-0.01
2024-12-25 18:15:59,791,784,791,768,769,-1.96,0.89,10.32,-0.06,0.03,0.04
2024-12-25 18:15:59,791,784,794,769,770,-2.04,0.71,10.21,-0.03,0.03,0.02
2024-12-25 18:15:59,790,784,793,772,770,-1.81,0.84,10.40,0.01,-0.04,0.08
2024-12-25 18:15:59,790,785,794,772,770,-1.98,0.82,10.37,-0.08,0.07,-0.02
2024-12-25 18:15:59,789,785,796,774,770,-1.94,0.72,10.35,-0.06,0.05,0.00
2024-12-25 18:15:59,790,784,795,771,771,-2.04,0.75,10.31,-0.03,0.03,-0.01
2024-12-25 18:15:59,789,785,795,773,771,-2.01,0.75,10.30,-0.04,0.01,-0.02
2024-12-25 18:15:59,790,786,795,773,770,-2.07,0.76,10.35,-0.04,0.01,-0.02
2024-12-25 18:15:59,789,786,796,770,771,-2.10,0.74,10.37,-0.10,0.08,-0.04
2024-12-25 18:15:59,789,786,795,772,772,-2.18,0.53,10.26,-0.08,0.03,-0.06
2024-12-25 18:15:59,789,786,793,771,770,-2.15,0.54,10.30,-0.03,0.02,-0.01
2024-12-25 18:15:59,787,787,795,771,771,-2.18,0.51,10.26,-0.04,0.01,-0.01
2024-12-25 18:15:59,789,787,794,771,769,-2.20,0.51,10.27,-0.04,0.03,-0.02
2024-12-25 18:15:59,789,784,794,772,770,-2.13,0.54,10.33,-0.04,0.01,-0.01
2024-12-25 18:15:59,788,787,795,771,771,-2.15,0.55,10.28,-0.03,0.01,-0.01
2024-12-25 18:15:59,789,785,794,772,770,-2.15,0.52,10.31,-0.04,0.02,-0.01
2024-12-25 18:15:59,788,786,794,772,771,-2.15,0.55,10.33,-0.05,0.02,-0.01
2024-12-25 18:16:00,788,787,795,772,773,-2.16,0.56,10.24,-0.04,0.01,-0.01
2024-12-25 18:16:00,787,785,795,770,770,-2.16,0.59,10.41,-0.05,0.00,-0.01
2024-12-25 18:16:00,789,784,795,771,770,-2.07,0.66,10.35,-0.05,0.02,-0.01
2024-12-25 18:16:00,789,786,795,771,771,-2.12,0.58,10.28,-0.06,0.05,-0.02
2024-12-25 18:16:00,789,784,794,771,772,-1.99,0.54,10.27,-0.06,0.03,-0.04
2024-12-25 18:16:00,789,786,796,773,770,-2.01,0.46,10.31,-0.08,0.04,-0.04
2024-12-25 18:16:00,790,788,794,771,771,-2.26,0.29,10.20,-0.08,0.08,-0.04
2024-12-25 18:16:00,790,787,795,772,771,-2.21,0.31,10.22,-0.00,-0.01,-0.01
2024-12-25 18:16:00,789,786,797,771,770,-2.23,0.34,10.27,-0.03,0.03,-0.03
2024-12-25 18:16:00,790,786,796,771,770,-2.15,0.36,10.31,-0.02,-0.01,0.01
2024-12-25 18:16:00,790,786,796,770,771,-2.21,0.36,10.26,-0.04,0.02,0.00
2024-12-25 18:16:00,789,785,797,772,769,-2.14,0.42,10.33,-0.03,0.04,-0.01
2024-12-25 18:16:00,790,786,796,770,770,-2.21,0.49,10.34,-0.03,0.04,-0.00
2024-12-25 18:16:00,791,785,797,771,770,-2.19,0.50,10.32,-0.08,0.07,-0.02
2024-12-25 18:16:00,791,787,796,772,771,-2.15,0.33,10.28,-0.29,0.07,-0.11
2024-12-25 18:16:00,791,790,808,776,772,-3.02,-0.10,9.96,-0.31,-0.06,-0.16
2024-12-25 18:16:00,793,789,795,775,770,-2.52,-1.16,9.88,-0.23,0.11,-0.03
2024-12-25 18:16:00,794,784,790,772,769,-2.69,-0.81,10.39,-0.09,0.09,-0.07
2024-12-25 18:16:00,793,783,786,771,773,-2.78,-1.47,9.95,-0.33,0.05,-0.16
2024-12-25 18:16:00,794,781,785,771,781,-2.52,-1.50,9.98,0.26,-0.02,-0.02
2024-12-25 18:16:00,791,778,785,767,777,-2.20,-0.89,10.31,0.44,0.03,0.25
2024-12-25 18:16:00,790,782,791,768,770,-2.50,0.03,11.13,-0.51,-0.38,-0.15
2024-12-25 18:16:00,791,789,809,776,770,-2.22,-1.24,9.81,-0.01,-0.03,0.04
2024-12-25 18:16:00,790,781,791,766,773,-3.35,-0.54,10.10,0.18,0.04,0.30
2024-12-25 18:16:00,792,778,788,767,774,-2.46,-0.43,10.38,-0.12,-0.04,0.17
2024-12-25 18:16:00,787,806,836,787,772,-2.24,0.19,11.14,-0.38,-0.27,-0.12
2024-12-25 18:16:00,787,787,795,771,772,-2.99,-0.53,9.92,0.11,0.64,0.12
2024-12-25 18:16:00,788,788,802,774,770,-2.57,-0.93,10.39,-1.10,-0.20,-0.07
2024-12-25 18:16:00,786,853,886,806,772,-2.17,-2.69,9.81,-0.42,-0.02,0.04
2024-12-25 18:16:00,786,817,848,785,772,-2.23,-1.87,10.17,1.08,0.38,-0.03
2024-12-25 18:16:01,783,787,801,772,772,-2.37,-1.65,10.18,-0.56,0.01,0.00
2024-12-25 18:16:01,784,813,849,790,773,-2.40,-2.22,10.45,-0.28,-0.11,-0.17
2024-12-25 18:16:01,786,810,843,793,775,-2.07,-2.56,10.56,-0.22,-0.19,-0.13
2024-12-25 18:16:01,787,809,837,792,774,-2.03,-3.68,10.71,-0.54,0.06,-0.24
2024-12-25 18:16:01,788,804,827,790,774,-1.90,-4.59,8.64,-0.81,0.38,0.19
2024-12-25 18:16:01,789,797,806,781,772,-2.22,-3.93,8.24,0.96,0.34,-0.01
2024-12-25 18:16:02,788,789,793,777,771,-3.05,-3.87,9.89,-0.23,-0.08,-0.01
2024-12-25 18:16:02,788,788,798,777,770,-3.32,-4.75,8.56,-0.72,-0.17,-0.13
2024-12-25 18:16:02,791,790,804,778,772,-3.31,-4.92,8.70,-0.16,-0.15,-0.19
2024-12-25 18:16:02,787,790,799,853,780,-2.98,-5.94,9.67,-0.11,-0.40,-0.06
2024-12-25 18:16:02,778,782,794,875,793,-2.58,-4.80,8.81,0.07,0.14,0.17
