Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 17:28:10,791,788,797,773,770,-1.58,0.78,10.36,-0.05,0.02,-0.02
2024-12-25 17:28:10,788,787,794,771,770,-1.46,0.93,10.43,-0.03,0.06,-0.03
2024-12-25 17:28:10,788,786,790,771,770,-1.70,0.82,10.42,-0.09,-0.02,-0.02
2024-12-25 17:28:10,790,787,791,771,769,-1.48,0.74,10.37,-0.05,0.01,-0.01
2024-12-25 17:28:10,788,787,791,772,771,-1.63,0.69,10.43,-0.05,0.07,0.05
2024-12-25 17:28:10,790,789,793,770,769,-1.54,0.77,10.47,-0.01,0.04,-0.03
2024-12-25 17:28:10,789,788,792,772,771,-1.53,0.76,10.53,0.01,0.01,0.02
2024-12-25 17:28:10,789,788,795,772,771,-1.54,0.81,10.47,-0.04,0.02,0.00
2024-12-25 17:28:10,789,787,794,771,770,-1.64,0.71,10.35,-0.02,0.02,-0.01
2024-12-25 17:28:10,789,787,795,773,769,-1.56,0.80,10.49,-0.06,0.01,-0.01
2024-12-25 17:28:10,790,788,794,771,770,-1.39,0.84,10.48,-0.02,-0.04,-0.00
2024-12-25 17:28:10,789,789,796,772,770,-1.47,0.85,10.45,-0.03,0.02,-0.00
2024-12-25 17:28:10,790,788,795,772,770,-1.51,0.74,10.36,-0.05,0.04,0.01
2024-12-25 17:28:10,790,790,795,771,770,-1.67,0.74,10.50,-0.03,0.06,-0.02
2024-12-25 17:28:10,790,790,798,772,771,-1.38,0.87,10.56,-0.01,0.02,-0.01
2024-12-25 17:28:10,788,788,795,772,771,-1.58,0.75,10.39,-0.07,0.07,0.00
2024-12-25 17:28:10,791,791,797,771,772,-1.52,0.75,10.46,-0.07,0.03,-0.03
2024-12-25 17:28:10,790,789,796,773,770,-1.56,0.69,10.46,-0.07,0.05,-0.03
2024-12-25 17:28:10,790,790,795,773,769,-1.50,0.71,10.47,-0.05,0.02,-0.02
2024-12-25 17:28:10,790,790,798,774,770,-1.63,0.62,10.44,-0.05,0.04,-0.02
2024-12-25 17:28:10,790,790,797,772,770,-1.47,0.60,10.38,-0.05,-0.00,-0.01
2024-12-25 17:28:10,791,790,799,774,771,-1.63,0.60,10.47,-0.07,0.03,-0.01
2024-12-25 17:28:10,790,788,796,774,769,-1.85,0.34,11.74,-0.81,0.04,-0.31
2024-12-25 17:28:11,792,789,797,776,770,-1.82,-2.66,11.43,-2.38,0.47,-0.43
2024-12-25 17:28:11,789,791,800,780,772,-1.15,-4.78,7.96,-1.88,0.32,-0.35
2024-12-25 17:28:11,791,792,801,780,773,-1.24,-9.25,4.72,-1.09,0.55,-0.54
2024-12-25 17:28:11,793,789,799,779,774,2.68,-9.08,3.15,-0.86,-0.49,-0.59
2024-12-25 17:28:11,792,788,796,778,772,-8.23,-7.07,1.82,-1.04,0.53,2.73
2024-12-25 17:28:12,796,788,799,777,773,-1.92,-7.20,1.90,0.32,0.95,-3.16
2024-12-25 17:28:12,795,788,801,776,773,7.73,-10.74,3.34,0.37,0.39,-0.60
2024-12-25 17:28:12,794,787,799,777,773,0.02,-7.14,2.85,-0.31,-0.91,3.43
2024-12-25 17:28:12,794,786,803,780,776,-12.56,-7.52,0.64,-0.43,0.20,-0.65
2024-12-25 17:28:12,795,789,805,778,774,0.32,-7.66,2.73,0.39,0.94,-3.24
2024-12-25 17:28:13,800,788,805,779,774,8.80,-9.94,2.15,-0.08,-0.30,0.30
2024-12-25 17:28:13,795,788,806,780,774,-0.78,-7.78,2.41,0.06,-1.13,3.45
2024-12-25 17:28:13,793,789,805,778,774,-10.54,-8.04,1.17,-0.17,0.20,-1.48
2024-12-25 17:28:13,797,788,807,782,773,2.50,-7.97,2.12,0.50,0.86,-2.29
2024-12-25 17:28:13,800,790,805,777,773,8.67,-10.18,3.43,0.16,-0.83,0.58
2024-12-25 17:28:13,798,789,805,778,773,-4.94,-6.00,2.53,-0.31,-0.58,3.47
2024-12-25 17:28:14,796,790,806,782,774,-10.60,-8.29,2.21,0.18,0.49,-1.82
2024-12-25 17:28:14,797,788,806,781,774,3.69,-8.02,2.62,-0.18,0.70,-2.58
2024-12-25 17:28:14,799,790,808,783,777,7.20,-10.05,1.70,0.19,-0.86,1.06
2024-12-25 17:28:14,799,790,806,782,776,-3.62,-6.86,2.51,0.14,-0.62,3.26
2024-12-25 17:28:14,798,791,808,783,777,-9.26,-8.47,2.46,0.19,0.15,-1.74
2024-12-25 17:28:15,798,790,810,783,777,2.48,-8.12,2.13,0.24,1.10,-2.61
2024-12-25 17:28:15,800,791,810,785,776,7.44,-9.13,3.49,0.15,-0.55,1.22
2024-12-25 17:28:15,798,790,808,783,775,-3.60,-7.36,2.68,-0.61,-0.33,3.16
2024-12-25 17:28:15,799,790,807,783,775,-9.68,-8.37,1.32,0.09,0.28,-1.81
2024-12-25 17:28:15,804,791,810,785,777,2.40,-8.20,1.67,0.11,0.56,-2.82
2024-12-25 17:28:16,803,792,809,785,775,5.86,-9.37,2.43,-0.11,-0.49,2.26
2024-12-25 17:28:16,801,794,810,784,777,-5.56,-6.64,1.83,-0.14,-0.13,2.69
2024-12-25 17:28:16,800,793,811,786,776,-8.24,-7.92,1.62,0.48,0.13,-2.29
2024-12-25 17:28:16,802,791,812,786,775,3.02,-8.50,2.11,0.22,0.72,-2.95
2024-12-25 17:28:16,801,793,810,786,776,7.38,-8.57,2.41,0.03,-0.93,1.83
2024-12-25 17:28:16,799,792,810,785,776,-6.10,-6.82,2.38,-0.14,-0.19,3.13
2024-12-25 17:28:17,801,792,812,784,776,-7.79,-7.57,2.17,0.44,0.12,-2.51
2024-12-25 17:28:17,800,793,812,786,775,3.39,-8.92,2.16,0.09,1.20,-1.97
2024-12-25 17:28:17,799,792,810,785,773,5.83,-9.61,1.86,-0.31,-0.70,1.30
2024-12-25 17:28:17,798,792,811,785,774,-3.49,-7.66,1.74,-0.16,-0.89,2.38
2024-12-25 17:28:17,798,794,810,784,776,-9.61,-9.00,2.33,-0.17,0.58,-0.70
2024-12-25 17:28:18,801,793,813,784,774,-0.05,-8.79,1.32,0.20,1.08,-2.04
2024-12-25 17:28:18,799,793,812,787,777,6.36,-9.81,2.94,-0.04,-0.21,0.22
2024-12-25 17:28:18,797,793,813,786,777,-2.13,-7.69,2.70,-0.12,-0.87,2.44
2024-12-25 17:28:18,799,793,813,788,777,-8.92,-9.20,0.59,-0.30,0.24,-0.73
2024-12-25 17:28:18,800,793,814,789,775,-0.96,-8.27,2.08,0.27,1.11,-2.16
2024-12-25 17:28:18,802,793,813,789,777,5.96,-10.02,2.91,0.07,0.01,-0.14
2024-12-25 17:28:19,804,792,813,788,775,1.04,-8.52,2.26,-0.22,-1.34,2.29
2024-12-25 17:28:19,799,793,812,787,777,-9.59,-8.49,1.05,-0.35,-0.02,0.90
2024-12-25 17:28:19,798,794,814,787,778,-2.72,-7.69,1.84,0.29,1.07,-2.85
2024-12-25 17:28:19,802,793,816,790,778,7.87,-10.34,3.29,0.56,0.52,-1.26
2024-12-25 17:28:19,795,793,812,789,777,2.47,-8.20,2.64,-0.23,-1.13,2.87
2024-12-25 17:28:20,793,793,812,788,778,-6.97,-7.75,1.75,-0.16,-0.60,2.15
2024-12-25 17:28:20,793,792,811,787,777,-8.70,-6.62,2.45,0.45,0.15,-2.14
2024-12-25 17:28:20,794,793,814,786,777,1.03,-8.35,2.50,0.20,0.68,-2.83
2024-12-25 17:28:20,794,794,814,786,778,8.43,-9.84,3.76,0.04,0.37,-0.53
2024-12-25 17:28:20,791,791,814,785,778,3.13,-8.04,2.95,-0.25,-1.56,2.77
2024-12-25 17:28:21,791,791,812,784,776,-6.07,-6.62,2.55,0.06,-0.58,2.31
2024-12-25 17:28:21,794,793,813,785,780,-11.00,-7.55,4.01,0.26,-0.21,-1.34
2024-12-25 17:28:21,793,791,813,786,778,-2.37,-7.42,2.94,-0.01,1.11,-2.67
2024-12-25 17:28:21,798,793,815,788,777,7.31,-8.77,2.70,0.67,1.10,-1.97
2024-12-25 17:28:21,798,793,815,788,778,7.20,-8.96,5.02,-0.45,-1.42,1.72
2024-12-25 17:28:21,796,793,813,786,777,-2.62,-5.59,2.91,-0.38,-0.51,3.70
2024-12-25 17:28:22,796,792,810,781,777,-14.68,-6.44,3.64,0.07,-0.24,-0.45
2024-12-25 17:28:22,797,796,811,780,774,-2.97,-7.01,3.26,-0.06,1.42,-3.14
2024-12-25 17:28:22,801,796,813,779,775,5.47,-8.71,3.33,0.79,1.76,-2.12
2024-12-25 17:28:22,803,797,813,780,774,7.60,-8.89,4.75,-0.34,-1.07,1.38
2024-12-25 17:28:22,800,796,813,781,774,-1.43,-7.20,2.81,-0.63,-1.17,3.12
2024-12-25 17:28:23,799,795,814,780,775,-8.44,-6.45,3.49,0.27,-0.22,1.96
2024-12-25 17:28:23,801,794,815,782,776,-9.84,-6.63,3.82,0.05,0.36,-2.47
2024-12-25 17:28:23,802,796,815,785,775,1.71,-6.34,2.26,0.44,1.88,-2.91
2024-12-25 17:28:23,803,798,815,784,776,8.66,-9.98,6.13,0.35,0.27,-0.88
2024-12-25 17:28:23,800,796,816,785,775,5.27,-7.22,3.83,-0.45,-2.25,3.22
2024-12-25 17:28:24,799,796,814,784,775,-6.40,-5.48,3.20,-0.20,-1.31,2.51
2024-12-25 17:28:24,801,794,816,786,776,-13.44,-6.13,4.45,0.07,0.07,-1.36
2024-12-25 17:28:24,797,796,817,787,775,-2.15,-6.18,2.49,-0.00,1.53,-3.12
2024-12-25 17:28:24,798,798,817,786,777,5.84,-7.76,3.94,0.75,2.06,-1.97
2024-12-25 17:28:24,801,797,817,787,777,8.67,-9.42,5.81,-0.79,-1.33,1.14
2024-12-25 17:28:24,800,796,817,785,776,-1.36,-5.93,2.84,-1.08,-1.72,3.30
2024-12-25 17:28:25,798,794,815,786,777,-11.77,-4.67,2.36,0.68,0.10,2.44
2024-12-25 17:28:25,796,795,816,786,775,-7.71,-5.94,4.60,0.04,0.90,-2.85
2024-12-25 17:28:25,797,794,817,787,776,2.83,-6.99,2.62,0.27,2.46,-2.94
2024-12-25 17:28:25,799,795,819,786,775,11.08,-9.00,7.54,0.43,-0.25,-0.27
2024-12-25 17:28:25,799,795,818,787,776,2.49,-7.19,3.27,0.10,-2.44,3.14
2024-12-25 17:28:26,794,795,816,785,776,-8.76,-5.49,4.35,0.77,-0.03,3.54
2024-12-25 17:28:26,794,795,816,786,777,-8.65,-6.48,5.82,0.08,0.34,-2.10
2024-12-25 17:28:26,797,796,820,787,778,-0.45,-7.30,2.73,-0.12,1.84,-3.14
2024-12-25 17:28:26,804,795,821,790,777,9.94,-9.01,3.72,0.45,0.80,-1.38
2024-12-25 17:28:26,802,794,818,788,778,6.80,-8.22,3.68,0.44,-2.18,2.85
2024-12-25 17:28:26,797,794,818,786,778,-5.27,-4.82,4.70,-0.61,-1.05,3.88
2024-12-25 17:28:27,798,794,816,785,779,-15.00,-4.77,4.96,-0.45,0.49,-0.71
2024-12-25 17:28:27,799,796,817,786,778,-3.28,-5.64,3.87,0.69,1.45,-4.80
2024-12-25 17:28:27,802,796,817,790,777,11.38,-7.00,4.72,0.12,1.70,-2.26
2024-12-25 17:28:27,799,794,816,788,778,6.43,-7.71,3.86,-0.01,-2.34,3.14
2024-12-25 17:28:27,797,794,816,785,778,-7.40,-3.15,4.09,-1.13,-0.85,5.36
2024-12-25 17:28:28,796,794,821,787,780,-12.44,-5.73,2.79,0.59,0.79,-2.54
2024-12-25 17:28:28,796,794,819,787,779,0.58,-5.64,4.59,0.61,0.24,-5.32
2024-12-25 17:28:28,802,795,815,786,779,11.95,-6.84,1.35,-0.47,0.00,1.01
2024-12-25 17:28:28,798,794,816,786,778,-7.58,-5.52,3.95,-0.87,1.36,5.01
2024-12-25 17:28:28,797,793,814,788,778,-2.97,-6.92,3.02,1.02,0.52,-5.22
2024-12-25 17:28:29,804,795,816,787,778,12.13,-7.09,2.47,0.09,-0.68,0.75
2024-12-25 17:28:29,797,794,813,786,778,-8.74,-4.29,3.51,-1.15,1.15,6.11
2024-12-25 17:28:29,794,794,818,789,778,-5.89,-6.63,2.47,0.88,1.12,-4.49
