Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 18:23:48,780,783,786,770,770,-4.71,-0.59,11.03,-0.26,-0.13,-0.14
2024-12-25 18:23:48,781,787,791,773,773,-2.78,-0.17,8.98,-0.03,0.65,0.37
2024-12-25 18:23:48,779,788,791,772,770,-3.65,0.23,10.14,0.06,-0.56,-0.02
2024-12-25 18:23:48,786,792,793,775,773,-3.40,-0.81,10.45,-0.40,0.01,-0.59
2024-12-25 18:23:48,787,792,794,776,774,-4.08,-0.93,9.10,0.18,0.03,0.12
2024-12-25 18:23:48,783,786,789,773,773,-3.72,1.20,10.14,0.61,-0.21,0.24
2024-12-25 18:23:48,780,781,788,772,772,-3.58,1.83,9.78,0.12,-0.14,0.09
2024-12-25 18:23:48,781,780,789,772,772,-3.90,1.76,9.44,-0.78,-0.07,0.19
2024-12-25 18:23:48,780,780,787,771,770,-2.81,0.12,9.45,-0.05,0.48,-0.16
2024-12-25 18:23:48,780,781,786,771,771,-3.74,1.02,9.75,-0.09,-0.07,-0.03
2024-12-25 18:23:48,782,780,788,771,770,-3.85,0.93,9.71,-0.14,0.45,-0.19
2024-12-25 18:23:48,785,779,788,772,770,-4.04,0.70,9.79,-0.25,0.06,0.01
2024-12-25 18:23:48,788,782,790,771,770,-4.19,0.41,9.31,-0.08,-0.04,-0.04
2024-12-25 18:23:48,788,782,791,773,770,-3.70,0.58,9.92,-0.01,0.01,-0.02
2024-12-25 18:23:48,785,784,791,773,771,-3.70,0.43,9.75,-0.12,-0.08,0.03
2024-12-25 18:23:48,787,784,791,774,770,-3.68,0.32,9.62,-0.11,0.03,-0.01
2024-12-25 18:23:48,789,784,795,775,771,-3.75,0.36,9.77,-0.07,0.09,-0.03
2024-12-25 18:23:48,786,786,796,776,770,-3.76,0.26,9.70,-0.02,-0.02,-0.02
2024-12-25 18:23:48,788,787,798,775,771,-3.51,0.38,9.86,-0.03,-0.04,-0.01
2024-12-25 18:23:48,786,787,798,776,772,-3.42,0.19,9.70,-0.09,-0.01,0.01
2024-12-25 18:23:48,788,788,798,775,771,-3.48,0.34,9.96,-0.06,0.06,-0.00
2024-12-25 18:23:48,787,788,799,777,772,-3.33,0.17,9.90,-0.12,0.11,0.03
2024-12-25 18:23:48,787,787,798,777,771,-3.48,0.15,9.61,-0.05,0.08,-0.04
2024-12-25 18:23:48,787,790,798,775,771,-3.23,0.25,9.92,-0.02,-0.05,-0.03
2024-12-25 18:23:48,789,790,798,778,773,-3.36,0.26,9.80,-0.05,0.04,-0.02
2024-12-25 18:23:48,788,793,799,778,771,-3.26,0.24,9.89,-0.01,0.01,-0.03
2024-12-25 18:23:48,790,791,801,778,774,-3.21,0.31,9.99,-0.06,0.03,-0.01
2024-12-25 18:23:48,787,793,804,779,774,-3.29,0.32,9.89,-0.02,0.02,-0.02
2024-12-25 18:23:48,786,791,801,777,770,-3.19,0.36,9.93,-0.05,0.02,-0.02
2024-12-25 18:23:48,786,791,804,777,772,-3.25,0.33,9.90,-0.04,0.02,-0.01
2024-12-25 18:23:48,790,790,803,778,771,-3.28,0.36,9.90,-0.02,0.01,-0.02
2024-12-25 18:23:48,788,791,805,780,772,-3.22,0.34,9.98,-0.04,0.04,-0.01
2024-12-25 18:23:48,790,790,803,778,772,-3.34,0.37,9.88,-0.07,0.03,-0.01
2024-12-25 18:23:48,787,791,805,779,773,-3.29,0.33,9.96,0.00,0.03,-0.00
2024-12-25 18:23:48,787,790,804,778,772,-3.41,0.23,9.81,-0.06,0.03,-0.01
2024-12-25 18:23:48,787,792,803,778,772,-3.25,0.27,9.96,-0.03,0.04,0.00
2024-12-25 18:23:48,789,791,804,778,773,-3.35,0.24,9.86,-0.05,0.01,-0.03
2024-12-25 18:23:48,787,791,805,779,772,-3.36,0.26,9.82,-0.03,-0.01,-0.02
2024-12-25 18:23:48,787,791,804,779,773,-3.22,0.23,9.90,-0.05,0.04,-0.01
2024-12-25 18:23:48,789,791,804,778,772,-3.26,0.11,9.94,-0.06,0.03,-0.01
2024-12-25 18:23:48,788,791,804,779,772,-3.21,0.37,9.91,-0.05,0.01,0.01
2024-12-25 18:23:48,786,791,805,779,771,-3.25,0.19,9.81,-0.04,0.01,-0.02
2024-12-25 18:23:48,787,791,804,779,771,-3.30,0.28,9.93,-0.06,0.04,-0.01
2024-12-25 18:23:48,786,791,803,777,771,-3.23,0.28,9.96,-0.02,0.00,-0.02
2024-12-25 18:23:48,788,792,802,779,771,-3.28,0.13,9.78,-0.04,0.01,0.01
2024-12-25 18:23:48,788,791,804,779,772,-3.38,0.27,9.93,-0.04,0.03,-0.01
2024-12-25 18:23:48,790,790,800,778,772,-3.11,0.14,9.77,0.18,0.02,0.02
2024-12-25 18:23:48,786,786,793,776,770,-3.03,0.74,9.95,0.28,0.06,0.06
2024-12-25 18:23:48,777,784,790,771,771,-3.15,1.05,9.75,0.13,-0.00,0.11
2024-12-25 18:23:48,776,783,788,773,772,-3.03,1.36,9.98,-0.11,0.00,-0.04
2024-12-25 18:23:48,777,785,792,773,771,-3.01,0.68,9.94,-0.72,-0.04,-0.11
2024-12-25 18:23:48,777,786,792,772,769,-2.85,0.13,10.08,-0.15,0.08,-0.09
2024-12-25 18:23:48,780,786,795,774,771,-2.94,-0.15,10.05,-0.42,-0.05,-0.09
2024-12-25 18:23:48,780,787,796,774,770,-3.06,-0.29,10.22,-0.06,0.08,-0.08
2024-12-25 18:23:48,782,788,801,774,771,-3.11,-0.48,10.06,-0.11,0.08,0.01
2024-12-25 18:23:48,783,788,799,774,770,-3.24,-0.74,9.85,-0.03,0.07,-0.04
2024-12-25 18:23:48,783,788,800,775,771,-3.36,-0.53,10.02,-0.07,0.05,0.01
2024-12-25 18:23:48,784,788,796,774,770,-3.37,-0.71,9.62,-0.03,0.07,0.00
2024-12-25 18:23:48,783,788,796,775,771,-3.22,-0.65,10.03,-0.03,0.01,-0.01
2024-12-25 18:23:48,784,788,797,775,771,-3.36,-0.66,9.89,-0.08,0.04,0.02
2024-12-25 18:23:48,783,787,798,773,769,-3.31,-0.66,10.05,-0.20,0.02,-0.02
2024-12-25 18:23:49,783,786,798,774,771,-3.64,-1.12,9.82,-0.21,0.03,-0.12
2024-12-25 18:23:49,784,792,812,777,770,-4.08,-1.66,9.44,-1.23,-0.46,-0.28
2024-12-25 18:23:49,785,797,883,805,770,-1.49,-3.63,9.33,-2.07,-0.05,0.38
2024-12-25 18:23:49,784,797,927,833,764,-3.68,-6.61,6.83,-0.81,0.47,0.44
2024-12-25 18:23:49,777,808,923,827,758,-3.94,-7.01,6.36,-0.35,0.35,0.18
2024-12-25 18:23:50,777,836,918,824,758,-4.35,-6.51,5.36,-0.28,0.19,0.16
2024-12-25 18:23:50,774,838,918,822,757,-5.04,-7.03,5.09,-0.08,0.08,-0.08
2024-12-25 18:23:50,774,836,920,825,757,-5.06,-7.10,6.05,0.00,0.04,0.02
2024-12-25 18:23:50,775,852,917,827,759,-4.84,-6.79,5.73,-0.44,-0.23,-0.17
2024-12-25 18:23:50,777,861,922,825,757,-4.44,-7.29,5.22,-0.50,-0.41,-0.15
2024-12-25 18:23:51,776,876,919,814,757,-4.25,-7.08,5.23,0.19,-0.33,-0.12
2024-12-25 18:23:51,775,869,918,815,757,-3.85,-7.40,5.29,-0.08,0.24,-0.08
2024-12-25 18:23:51,773,862,930,833,762,-4.76,-7.82,5.58,-0.37,0.09,0.24
2024-12-25 18:23:51,773,855,936,847,773,-6.12,-8.53,1.77,0.47,-6.61,-2.36
2024-12-25 18:23:51,779,844,934,845,767,6.29,-9.69,0.44,-0.17,-4.79,0.51
2024-12-25 18:23:51,779,837,934,842,765,5.55,-8.62,1.41,0.95,-1.65,0.55
2024-12-25 18:23:52,777,835,935,841,764,4.32,-8.69,0.32,-0.19,-1.19,0.07
2024-12-25 18:23:52,777,835,933,839,763,4.85,-9.43,-0.63,-0.38,-0.49,0.14
2024-12-25 18:23:52,776,835,934,840,762,3.36,-8.57,-1.77,-0.26,-0.06,-0.05
2024-12-25 18:23:52,778,862,932,839,761,3.22,-9.11,-2.94,-0.47,-0.29,0.03
2024-12-25 18:23:52,779,896,932,836,766,3.04,-9.09,-2.67,-0.23,-0.22,0.15
2024-12-25 18:23:53,779,898,934,838,781,3.07,-8.97,-3.02,0.33,0.14,-0.07
2024-12-25 18:23:53,778,887,935,842,779,3.21,-8.88,-1.90,-0.04,0.17,-0.01
2024-12-25 18:23:53,768,857,935,834,759,3.28,-8.84,-2.37,0.05,0.29,-0.16
2024-12-25 18:23:53,769,849,934,833,759,3.56,-8.98,-2.60,0.07,-0.02,-0.11
2024-12-25 18:23:53,767,846,934,832,757,3.68,-8.83,-2.17,-0.10,-0.01,-0.10
2024-12-25 18:23:54,769,862,936,834,758,3.62,-8.77,-2.48,-0.09,-0.01,0.04
2024-12-25 18:23:54,773,860,933,832,760,3.51,-8.89,-2.74,0.04,-0.03,0.02
2024-12-25 18:23:54,770,857,933,833,759,3.58,-8.78,-2.41,-0.03,0.02,-0.03
2024-12-25 18:23:54,773,856,935,832,759,3.66,-8.94,-2.39,0.03,-0.02,0.02
2024-12-25 18:23:54,770,851,932,832,759,3.44,-8.92,-2.38,-0.05,0.02,-0.01
2024-12-25 18:23:54,770,851,933,831,759,3.53,-8.85,-2.43,-0.11,-0.06,-0.03
2024-12-25 18:23:55,771,851,933,830,759,3.43,-8.86,-2.47,-0.04,0.02,0.00
2024-12-25 18:23:55,771,849,934,832,759,3.26,-8.91,-2.61,-0.04,0.01,-0.01
2024-12-25 18:23:55,772,846,936,832,759,3.63,-8.82,-2.39,-0.09,0.00,-0.03
2024-12-25 18:23:55,771,847,932,832,758,3.52,-8.80,-2.70,-0.06,-0.01,-0.01
2024-12-25 18:23:55,773,846,933,834,759,3.38,-8.79,-2.66,-0.01,0.06,0.00
2024-12-25 18:23:56,772,846,932,830,758,3.37,-8.87,-2.74,-0.03,0.02,-0.02
2024-12-25 18:23:56,773,845,934,831,759,3.50,-8.82,-2.68,-0.05,-0.02,-0.01
2024-12-25 18:23:56,772,846,934,831,757,3.45,-8.73,-2.60,-0.04,0.05,-0.02
2024-12-25 18:23:56,771,846,932,833,759,3.50,-8.75,-2.86,-0.05,-0.03,-0.01
2024-12-25 18:23:56,772,846,932,832,758,3.40,-8.77,-2.72,-0.04,0.05,0.01
2024-12-25 18:23:57,774,861,931,831,759,3.41,-8.71,-2.76,-0.15,0.10,-0.03
2024-12-25 18:23:57,772,857,935,831,760,3.49,-8.75,-2.79,0.00,0.07,-0.01
2024-12-25 18:23:57,772,857,931,829,760,3.43,-8.75,-2.86,-0.02,0.03,0.01
2024-12-25 18:23:57,771,858,932,829,760,3.64,-8.64,-2.47,-0.07,0.14,-0.05
2024-12-25 18:23:57,773,856,930,831,760,2.73,-8.75,-3.32,-0.22,0.06,0.03
2024-12-25 18:23:57,771,856,931,831,762,3.68,-8.66,-2.99,-0.02,0.10,0.01
2024-12-25 18:23:58,772,858,931,832,765,3.21,-8.86,-2.89,0.14,0.29,0.02
2024-12-25 18:23:58,772,881,919,821,763,3.80,-9.10,-2.35,0.62,-0.07,-0.05
2024-12-25 18:23:58,772,863,916,811,760,3.73,-8.95,-1.41,0.21,-0.17,-0.02
2024-12-25 18:23:58,769,839,914,818,759,3.60,-9.31,-1.15,0.51,0.12,-0.07
2024-12-25 18:23:58,764,823,907,812,755,3.62,-9.31,-0.07,0.56,-0.08,0.08
2024-12-25 18:23:59,760,804,905,815,753,3.55,-9.43,0.49,0.15,-0.10,0.00
2024-12-25 18:23:59,758,788,898,819,750,3.64,-9.48,0.92,-0.00,-0.05,-0.03
2024-12-25 18:23:59,759,825,888,819,751,3.73,-9.81,0.26,-0.14,0.13,-0.08
2024-12-25 18:23:59,765,875,918,863,769,3.72,-9.34,0.18,-0.76,0.39,-0.00
2024-12-25 18:23:59,765,910,912,862,775,3.86,-8.90,-1.18,-0.95,0.17,-0.09
2024-12-25 18:24:00,769,897,909,851,766,4.44,-8.70,-2.15,-0.01,-0.02,-0.07
2024-12-25 18:24:00,772,899,929,864,765,4.07,-8.62,-1.94,-0.19,0.03,0.02
2024-12-25 18:24:00,776,900,919,873,764,4.18,-8.68,-1.76,-0.05,0.01,-0.02
2024-12-25 18:24:00,773,906,910,864,763,4.09,-8.73,-2.04,0.08,0.07,0.01
2024-12-25 18:24:00,775,904,924,877,764,4.02,-8.82,-2.09,-0.01,0.07,0.03
2024-12-25 18:24:00,775,891,917,854,763,4.33,-8.77,-1.87,-0.06,0.06,-0.03
2024-12-25 18:24:01,775,894,918,865,764,4.36,-8.77,-2.01,-0.07,0.04,-0.04
2024-12-25 18:24:01,777,898,926,852,764,4.20,-8.80,-2.07,-0.03,0.05,-0.06
2024-12-25 18:24:01,775,886,910,856,764,4.26,-8.66,-1.86,0.01,0.00,-0.02
2024-12-25 18:24:01,776,899,924,872,764,4.50,-8.80,-1.84,-0.04,0.06,-0.06
2024-12-25 18:24:01,774,888,913,859,763,4.28,-8.68,-1.78,-0.04,-0.01,-0.05
2024-12-25 18:24:02,774,888,922,881,763,4.50,-8.63,-2.11,-0.07,0.04,-0.05
2024-12-25 18:24:02,775,895,918,852,765,4.56,-8.56,-2.08,-0.08,-0.05,-0.01
2024-12-25 18:24:02,775,897,919,870,764,4.26,-8.55,-2.15,-0.05,-0.03,-0.01
2024-12-25 18:24:02,777,889,909,860,765,4.38,-8.56,-2.18,-0.10,0.03,-0.08
2024-12-25 18:24:02,777,899,913,864,764,4.70,-8.45,-2.20,-0.09,0.05,-0.03
2024-12-25 18:24:03,776,888,912,858,766,4.71,-8.48,-2.35,-0.06,-0.02,0.00
2024-12-25 18:24:03,776,896,912,860,764,4.43,-8.54,-2.34,-0.03,-0.01,-0.02
2024-12-25 18:24:03,777,901,921,848,764,4.53,-8.48,-2.20,-0.01,0.07,0.02
2024-12-25 18:24:03,779,889,918,856,763,4.77,-8.51,-2.31,-0.01,-0.02,-0.06
2024-12-25 18:24:03,778,897,915,856,763,4.64,-8.48,-2.24,-0.02,0.00,0.00
2024-12-25 18:24:03,776,894,907,852,761,4.69,-8.45,-2.08,-0.03,-0.03,-0.04
2024-12-25 18:24:04,777,910,903,850,761,4.58,-8.50,-2.18,-0.00,0.02,-0.05
2024-12-25 18:24:04,774,891,913,860,761,4.78,-8.34,-1.98,-0.04,0.14,-0.12
2024-12-25 18:24:04,770,899,921,864,759,4.88,-8.43,-1.95,0.00,0.03,0.02
2024-12-25 18:24:04,772,893,918,858,760,4.91,-8.39,-1.95,-0.07,0.05,0.01
2024-12-25 18:24:04,770,882,905,845,760,4.98,-8.36,-1.90,-0.04,0.01,0.00
2024-12-25 18:24:05,771,896,920,856,760,4.80,-8.51,-2.06,-0.06,-0.01,-0.02
2024-12-25 18:24:05,773,888,914,850,759,4.84,-8.37,-2.00,-0.03,0.03,-0.04
2024-12-25 18:24:05,771,895,922,864,762,4.93,-8.39,-1.91,-0.04,0.04,-0.01
2024-12-25 18:24:05,772,881,917,846,761,4.89,-8.41,-1.97,-0.07,-0.01,-0.00
2024-12-25 18:24:05,770,896,920,859,760,4.96,-8.34,-2.03,-0.05,-0.00,-0.01
2024-12-25 18:24:06,773,896,913,851,760,4.91,-8.38,-2.05,-0.06,0.00,-0.01
2024-12-25 18:24:06,773,890,912,861,760,4.77,-8.41,-2.03,-0.03,0.03,-0.02
2024-12-25 18:24:06,772,886,921,867,760,4.92,-8.36,-2.14,-0.03,0.01,-0.02
2024-12-25 18:24:06,772,905,913,862,761,4.89,-8.39,-2.06,-0.03,0.06,-0.00
2024-12-25 18:24:06,774,897,906,866,760,4.88,-8.44,-2.05,-0.04,0.00,-0.02
2024-12-25 18:24:06,773,902,924,853,760,4.89,-8.36,-2.04,-0.05,0.03,-0.01
2024-12-25 18:24:07,773,901,934,872,762,4.89,-8.36,-2.04,-0.03,0.04,-0.01
2024-12-25 18:24:07,773,889,913,851,760,4.76,-8.43,-2.05,-0.04,0.03,-0.01
2024-12-25 18:24:07,773,890,914,855,760,4.92,-8.40,-2.05,-0.04,0.02,-0.04
2024-12-25 18:24:07,771,880,911,858,761,4.78,-8.40,-2.07,-0.04,0.04,0.00
2024-12-25 18:24:07,774,899,901,845,761,5.04,-8.39,-1.97,-0.04,0.02,-0.06
2024-12-25 18:24:08,772,901,932,862,761,4.84,-8.36,-2.10,-0.06,0.00,-0.00
2024-12-25 18:24:08,772,895,908,845,761,4.93,-8.37,-1.92,-0.04,0.04,-0.02
2024-12-25 18:24:08,771,891,922,851,761,4.88,-8.33,-1.98,-0.03,0.03,-0.00
2024-12-25 18:24:08,774,885,911,848,762,5.14,-8.37,-2.09,-0.05,0.04,-0.01
2024-12-25 18:24:08,772,891,916,855,761,4.85,-8.40,-2.13,-0.04,0.03,-0.01
2024-12-25 18:24:09,774,892,905,853,760,4.98,-8.37,-2.09,-0.04,0.00,-0.02
2024-12-25 18:24:09,773,894,923,847,760,4.93,-8.37,-1.99,-0.05,0.00,-0.00
2024-12-25 18:24:09,772,895,903,852,760,4.81,-8.42,-2.15,0.02,-0.02,0.00
