Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 17:22:44,786,792,797,772,772,-2.49,2.59,9.85,-0.01,0.01,-0.07
2024-12-25 17:22:44,787,793,798,774,774,-2.60,2.46,9.86,0.04,0.00,-0.05
2024-12-25 17:22:44,788,792,797,773,772,-2.55,2.62,9.70,-0.04,0.04,-0.03
2024-12-25 17:22:44,784,791,796,772,771,-2.51,2.59,9.64,-0.06,0.01,-0.04
2024-12-25 17:22:44,786,791,797,773,772,-2.61,2.51,9.78,-0.05,0.06,0.03
2024-12-25 17:22:44,786,791,796,772,771,-2.64,2.54,9.79,-0.03,0.04,0.00
2024-12-25 17:22:44,788,792,799,774,772,-2.72,2.71,9.66,-0.04,0.02,-0.01
2024-12-25 17:22:44,786,791,797,774,772,-2.39,2.59,9.76,-0.08,-0.01,-0.06
2024-12-25 17:22:44,785,792,800,775,772,-2.82,2.59,9.75,-0.05,0.05,-0.07
2024-12-25 17:22:44,787,792,799,775,772,-2.55,2.47,9.79,-0.05,0.01,-0.09
2024-12-25 17:22:44,786,793,800,775,771,-2.19,2.51,9.88,0.01,-0.02,0.01
2024-12-25 17:22:44,786,793,800,775,771,-3.29,2.92,9.62,-0.34,0.18,0.08
2024-12-25 17:22:44,786,792,799,775,771,-2.86,2.31,9.84,0.20,-0.14,-0.21
2024-12-25 17:22:44,786,792,801,776,772,-2.60,2.35,9.79,-0.08,0.04,-0.05
2024-12-25 17:22:44,786,793,800,775,772,-2.60,2.48,9.65,-0.04,0.01,-0.03
2024-12-25 17:22:44,785,792,799,777,773,-2.78,2.55,9.44,-0.05,0.08,0.11
2024-12-25 17:22:44,786,791,800,776,771,-2.47,2.69,9.88,0.02,0.06,-0.03
2024-12-25 17:22:44,785,792,800,777,771,-2.86,2.59,9.69,-0.08,0.08,0.08
2024-12-25 17:22:44,786,792,800,776,771,-2.77,2.66,9.76,0.03,0.03,0.00
2024-12-25 17:22:44,786,791,799,777,771,-2.83,2.75,9.49,-0.07,0.13,0.10
2024-12-25 17:22:44,787,791,801,776,772,-2.90,3.00,9.85,-0.04,-0.01,-0.03
2024-12-25 17:22:44,787,792,800,776,771,-3.00,2.89,9.69,0.01,0.04,0.06
2024-12-25 17:22:44,785,791,801,776,772,-2.85,2.81,9.70,-0.05,0.05,0.01
2024-12-25 17:22:45,785,791,801,776,771,-2.82,2.77,9.39,-0.08,0.04,-0.00
2024-12-25 17:22:45,787,791,802,777,772,-2.90,2.75,9.54,-0.07,0.00,0.02
2024-12-25 17:22:45,786,795,808,778,773,-2.46,2.31,10.22,-0.68,-0.03,0.07
2024-12-25 17:22:45,787,795,820,782,773,-1.85,0.79,10.15,-0.55,-0.24,0.17
2024-12-25 17:22:45,788,797,817,783,772,-2.26,0.86,9.89,0.17,0.60,-0.17
2024-12-25 17:22:46,785,789,791,771,774,-3.07,2.25,9.99,1.00,-0.24,-0.32
2024-12-25 17:22:46,784,782,788,769,775,-2.47,3.27,10.00,0.12,0.05,-0.08
2024-12-25 17:22:46,781,784,794,767,768,-2.95,1.96,10.61,-1.24,-0.90,0.93
2024-12-25 17:22:46,783,825,885,826,793,2.20,0.84,10.35,-0.35,-2.52,1.26
2024-12-25 17:22:46,779,874,922,871,848,6.59,-1.24,8.04,0.41,-2.70,1.54
2024-12-25 17:22:47,774,885,937,892,869,5.15,-1.69,8.34,-0.11,0.00,1.79
2024-12-25 17:22:47,768,889,944,886,862,6.67,-2.36,8.77,-0.00,-0.46,0.02
2024-12-25 17:22:47,765,891,936,872,842,8.08,-1.35,7.50,1.17,-0.11,-0.31
2024-12-25 17:22:47,765,872,934,877,849,5.70,-2.07,7.75,0.25,0.33,0.14
2024-12-25 17:22:47,769,878,934,873,854,8.12,-3.20,8.20,-0.63,-0.43,0.29
2024-12-25 17:22:47,776,900,938,873,868,8.40,-2.43,7.31,0.62,-0.70,-0.09
2024-12-25 17:22:48,781,900,939,883,870,2.31,-1.22,2.26,0.89,-2.10,1.33
2024-12-25 17:22:48,779,897,941,880,867,14.10,7.10,3.83,0.45,-0.86,-2.34
2024-12-25 17:22:48,782,894,941,881,868,15.97,-3.46,1.92,-0.61,0.44,0.40
2024-12-25 17:22:48,780,891,940,881,863,4.77,-3.51,2.24,0.66,0.86,1.77
2024-12-25 17:22:48,783,892,940,878,860,6.53,9.71,2.45,0.59,-0.73,-1.46
2024-12-25 17:22:49,781,892,939,877,860,14.14,4.59,0.40,-2.25,-0.82,-1.49
