Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 18:47:59,790,792,805,778,772,-1.45,1.88,10.64,-0.57,1.21,0.41
2024-12-25 18:47:59,784,784,793,774,771,-3.19,1.33,10.11,0.29,1.10,-0.05
2024-12-25 18:47:59,775,777,785,767,769,-3.21,2.02,9.56,0.04,0.30,0.08
2024-12-25 18:47:59,772,775,782,767,767,-3.26,1.76,9.42,-0.68,0.11,0.32
2024-12-25 18:47:59,776,776,785,769,768,-3.88,1.29,9.48,-0.03,-0.19,-0.07
2024-12-25 18:47:59,777,776,783,767,767,-4.12,0.59,8.84,-0.54,0.41,0.10
2024-12-25 18:47:59,783,777,786,770,766,-6.06,0.40,9.86,0.16,0.54,-0.10
2024-12-25 18:47:59,783,781,788,772,767,-2.37,0.95,9.27,-0.25,-0.12,0.08
2024-12-25 18:47:59,784,783,791,773,768,-4.01,-0.02,8.89,-0.19,0.16,0.05
2024-12-25 18:47:59,785,782,793,773,768,-4.61,1.19,10.16,0.17,0.40,0.01
2024-12-25 18:47:59,783,782,793,773,769,-3.76,0.34,10.90,0.44,-0.36,-0.07
2024-12-25 18:47:59,783,784,796,775,771,-3.78,-0.79,7.60,-0.32,0.06,0.08
2024-12-25 18:47:59,779,784,792,774,769,-4.14,0.05,9.91,-0.24,0.32,0.13
2024-12-25 18:47:59,780,784,793,774,769,-3.59,0.23,9.13,-0.01,-0.24,-0.23
2024-12-25 18:47:59,778,785,794,774,768,-5.12,-0.46,9.83,-0.01,-0.17,-0.24
2024-12-25 18:47:59,782,789,798,776,769,-4.62,-0.83,9.65,0.02,0.06,0.02
2024-12-25 18:47:59,782,789,799,775,769,-4.21,-0.64,10.09,-0.13,-0.05,-0.06
2024-12-25 18:47:59,787,788,800,775,771,-3.95,-1.41,8.76,-1.09,-0.09,0.23
2024-12-25 18:47:59,788,789,799,775,771,-3.88,-2.55,10.34,0.49,0.15,0.04
2024-12-25 18:47:59,786,782,791,771,769,-3.72,-0.59,9.88,0.00,-0.08,-0.18
2024-12-25 18:47:59,786,783,790,771,769,-3.54,-0.78,9.41,0.28,0.12,0.35
2024-12-25 18:47:59,780,781,786,769,768,-3.17,-0.26,9.66,0.04,0.12,0.09
2024-12-25 18:47:59,781,780,784,768,768,-4.02,-0.33,9.83,0.15,0.11,-0.12
2024-12-25 18:47:59,783,778,784,767,767,-4.19,-0.01,9.91,-0.29,0.07,-0.05
2024-12-25 18:47:59,782,781,785,767,767,-4.37,-0.66,9.43,-0.40,0.28,-0.13
2024-12-25 18:48:00,787,792,819,780,772,-5.23,-2.94,9.86,-2.25,0.34,-0.22
2024-12-25 18:48:00,785,844,896,835,815,-4.27,-6.11,7.73,-1.85,-0.32,0.19
2024-12-25 18:48:00,783,878,916,858,836,-3.46,-6.87,6.10,-0.98,-0.09,0.01
2024-12-25 18:48:00,784,906,936,885,868,-4.01,-7.96,4.02,-1.30,0.01,0.04
2024-12-25 18:48:00,784,907,937,890,872,-3.66,-8.33,1.57,-0.87,0.05,-0.16
2024-12-25 18:48:01,785,907,939,888,876,-3.79,-8.59,1.28,-0.42,-0.08,-0.05
2024-12-25 18:48:01,787,902,943,888,873,-4.02,-8.97,1.94,0.03,0.09,-0.07
2024-12-25 18:48:01,786,904,940,888,873,-4.13,-9.11,1.92,-0.07,0.04,-0.06
2024-12-25 18:48:01,785,902,940,887,872,-3.78,-8.79,1.61,-0.05,0.04,-0.01
2024-12-25 18:48:01,785,903,941,886,871,-3.67,-9.14,1.90,-0.05,0.05,-0.12
2024-12-25 18:48:01,785,900,936,884,868,-3.78,-9.02,1.62,-0.17,0.05,-0.07
2024-12-25 18:48:02,785,900,938,885,870,-3.60,-9.05,1.61,0.01,0.04,-0.03
2024-12-25 18:48:02,785,901,939,884,872,-3.45,-9.11,1.78,-0.08,0.04,-0.04
2024-12-25 18:48:02,784,897,934,884,868,-3.50,-8.98,1.61,-0.10,0.06,-0.00
2024-12-25 18:48:02,785,899,935,884,868,-3.57,-9.04,1.30,-0.06,0.03,-0.01
2024-12-25 18:48:02,785,898,936,882,869,-3.58,-9.03,1.25,-0.04,0.06,0.00
2024-12-25 18:48:03,787,899,934,882,867,-3.50,-9.31,1.52,-0.03,0.17,-0.00
2024-12-25 18:48:03,787,901,935,883,866,-3.61,-8.59,1.59,-0.10,0.01,0.03
2024-12-25 18:48:03,790,905,936,884,866,-3.75,-8.51,1.13,-0.12,0.02,0.03
2024-12-25 18:48:03,789,905,940,884,866,-3.91,-8.96,0.57,0.01,-0.11,-0.02
2024-12-25 18:48:03,790,905,939,884,866,-3.67,-8.81,1.37,-0.03,-0.02,-0.00
2024-12-25 18:48:04,790,904,940,885,867,-3.96,-9.03,0.97,0.01,0.03,-0.02
2024-12-25 18:48:04,788,902,938,884,867,-3.84,-9.08,1.14,-0.03,0.03,-0.02
2024-12-25 18:48:04,792,900,939,885,868,-3.79,-9.07,1.02,-0.02,-0.01,-0.00
2024-12-25 18:48:04,793,901,938,884,868,-3.93,-9.20,1.22,-0.06,0.01,-0.04
2024-12-25 18:48:04,790,901,937,884,867,-3.94,-9.00,1.03,-0.04,0.04,-0.02
2024-12-25 18:48:04,790,900,941,884,868,-3.76,-8.99,1.07,-0.03,0.03,-0.02
2024-12-25 18:48:05,790,903,935,885,866,-3.79,-9.01,1.14,-0.04,-0.01,-0.03
2024-12-25 18:48:05,791,901,938,884,867,-3.74,-8.95,1.14,-0.05,0.02,-0.03
2024-12-25 18:48:05,790,902,937,884,867,-3.73,-9.10,0.99,-0.00,-0.01,-0.00
2024-12-25 18:48:05,789,900,936,884,866,-3.70,-9.04,1.19,-0.07,0.03,0.00
2024-12-25 18:48:05,790,900,937,882,867,-3.64,-8.95,1.11,-0.03,0.03,-0.02
2024-12-25 18:48:06,790,899,935,883,866,-3.84,-9.05,1.18,-0.05,0.02,0.00
2024-12-25 18:48:06,788,897,934,881,864,-3.70,-9.00,1.14,-0.04,0.03,0.00
2024-12-25 18:48:06,789,896,940,883,867,-3.73,-9.01,1.16,-0.04,0.03,-0.00
2024-12-25 18:48:06,791,898,937,882,866,-3.75,-8.98,1.18,-0.03,0.04,-0.02
2024-12-25 18:48:06,792,898,934,881,866,-3.78,-9.01,1.12,-0.05,0.04,-0.01
2024-12-25 18:48:07,789,899,936,883,866,-3.73,-8.98,1.12,-0.05,0.03,-0.01
2024-12-25 18:48:07,789,899,934,885,865,-3.68,-9.03,1.14,-0.03,0.03,-0.03
2024-12-25 18:48:07,787,899,938,881,864,-3.73,-9.01,1.08,-0.04,0.04,-0.02
2024-12-25 18:48:07,790,898,937,884,866,-3.72,-9.04,1.17,-0.04,0.02,0.00
2024-12-25 18:48:07,792,899,938,883,866,-3.66,-9.03,1.16,-0.04,0.03,-0.02
2024-12-25 18:48:07,789,897,932,883,866,-3.86,-9.15,1.17,-0.04,0.02,-0.00
2024-12-25 18:48:08,789,896,938,881,866,-3.61,-8.87,1.11,-0.03,-0.00,-0.02
2024-12-25 18:48:08,789,899,936,882,863,-3.90,-9.04,1.21,-0.01,0.02,-0.03
2024-12-25 18:48:08,790,898,933,883,865,-3.62,-9.03,1.25,-0.05,0.04,-0.04
2024-12-25 18:48:08,790,899,938,882,865,-3.72,-9.12,1.13,-0.03,0.03,0.00
2024-12-25 18:48:08,788,899,938,882,864,-3.73,-9.00,1.22,-0.05,0.02,-0.01
2024-12-25 18:48:09,791,897,932,880,866,-3.72,-9.09,1.22,-0.02,0.04,0.00
2024-12-25 18:48:09,789,898,936,882,865,-3.69,-9.04,1.24,-0.07,0.03,0.00
2024-12-25 18:48:09,790,897,935,883,865,-3.77,-9.06,1.23,-0.05,0.02,-0.01
2024-12-25 18:48:09,788,897,932,881,864,-3.67,-9.05,1.19,-0.02,0.05,-0.01
2024-12-25 18:48:09,789,897,935,882,864,-3.63,-9.05,1.23,-0.03,0.02,-0.01
2024-12-25 18:48:10,789,896,934,884,864,-3.71,-9.04,1.25,-0.04,0.01,-0.00
2024-12-25 18:48:10,790,896,934,882,863,-3.63,-9.00,1.18,-0.06,0.02,-0.00
2024-12-25 18:48:10,790,897,935,881,865,-3.74,-8.97,1.28,-0.02,0.03,0.00
2024-12-25 18:48:10,790,897,936,879,864,-3.67,-9.06,1.19,-0.05,0.00,-0.02
2024-12-25 18:48:10,789,895,935,881,862,-3.62,-9.02,1.17,-0.04,0.02,-0.02
2024-12-25 18:48:10,789,896,934,881,865,-3.73,-9.07,1.27,-0.05,0.01,-0.04
