Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 18:54:30,779,760,780,756,759,-2.68,0.98,10.28,0.01,-0.07,-0.05
2024-12-25 18:54:30,780,762,780,756,758,-2.52,0.52,10.20,0.03,0.03,-0.07
2024-12-25 18:54:30,780,762,782,756,759,-2.55,1.19,10.41,0.14,0.07,0.01
2024-12-25 18:54:30,780,762,781,756,758,-2.94,1.57,10.69,-0.08,0.12,0.11
2024-12-25 18:54:30,779,763,780,755,758,-2.52,0.63,9.38,-0.26,-0.08,-0.07
2024-12-25 18:54:30,780,763,781,757,759,-2.44,1.24,9.70,0.04,0.07,-0.04
2024-12-25 18:54:30,780,765,782,755,757,-2.97,1.12,10.45,-0.04,0.12,-0.10
2024-12-25 18:54:30,779,764,781,757,757,-2.38,1.00,9.81,-0.03,-0.07,0.01
2024-12-25 18:54:30,778,764,782,755,758,-2.74,1.17,10.70,-0.02,-0.04,0.08
2024-12-25 18:54:30,781,764,783,756,758,-2.33,1.05,9.91,-0.21,0.09,-0.05
2024-12-25 18:54:30,781,763,780,755,757,-2.91,1.32,10.46,0.08,0.27,0.00
2024-12-25 18:54:30,778,762,779,755,757,-2.68,0.88,9.46,0.02,0.02,0.02
2024-12-25 18:54:30,780,764,781,753,757,-2.80,1.21,10.24,0.06,0.09,-0.02
2024-12-25 18:54:30,780,762,783,754,758,-3.17,0.80,10.34,-0.34,0.08,-0.02
2024-12-25 18:54:30,779,762,782,755,759,-2.89,0.48,9.70,-0.12,0.00,0.05
2024-12-25 18:54:30,778,766,781,755,757,-3.77,0.84,12.30,-1.33,-0.27,-0.24
2024-12-25 18:54:30,780,766,784,759,756,-2.31,-4.25,8.50,-3.09,0.22,-0.68
2024-12-25 18:54:31,793,765,780,762,755,-2.55,-7.84,4.41,-1.41,1.32,-0.27
2024-12-25 18:54:31,800,759,779,761,757,-2.80,-9.07,3.42,-0.46,0.17,-0.22
2024-12-25 18:54:31,798,759,779,760,757,-2.46,-9.14,2.13,-0.62,0.31,-0.08
2024-12-25 18:54:31,798,759,780,760,756,-2.29,-9.28,1.07,-0.14,0.12,-0.11
2024-12-25 18:54:31,801,760,780,761,756,-2.36,-9.54,1.74,0.00,0.13,-0.15
2024-12-25 18:54:32,799,761,782,759,757,-2.20,-9.50,1.28,-0.15,0.01,-0.07
2024-12-25 18:54:32,797,759,778,760,757,-2.26,-9.49,1.31,-0.00,-0.01,-0.02
2024-12-25 18:54:32,800,761,781,759,756,-2.22,-9.72,1.44,-0.21,0.04,-0.09
2024-12-25 18:54:32,798,760,780,760,756,-2.24,-9.50,0.67,-0.09,0.02,0.02
2024-12-25 18:54:32,798,759,780,759,757,-2.17,-9.54,1.33,0.03,0.01,-0.01
2024-12-25 18:54:33,797,761,780,758,756,-2.20,-9.52,1.34,0.01,-0.08,-0.01
2024-12-25 18:54:33,798,760,783,759,757,-2.33,-9.58,1.38,-0.00,0.03,-0.03
2024-12-25 18:54:33,798,761,781,758,758,-2.07,-9.42,1.41,0.00,-0.04,-0.01
2024-12-25 18:54:33,796,761,783,757,756,-2.15,-9.70,1.53,-0.05,-0.02,-0.05
2024-12-25 18:54:33,796,762,783,758,757,-2.08,-9.53,1.26,-0.01,0.03,-0.11
2024-12-25 18:54:33,796,761,783,759,756,-2.02,-9.59,1.66,-0.05,0.09,0.02
2024-12-25 18:54:34,795,761,780,759,756,-1.98,-9.53,1.36,-0.02,0.01,-0.02
2024-12-25 18:54:34,796,762,782,759,757,-2.12,-9.67,1.63,0.00,0.03,-0.00
2024-12-25 18:54:34,794,764,781,759,759,-2.19,-9.60,1.47,-0.04,0.02,-0.00
2024-12-25 18:54:34,793,762,781,757,758,-1.99,-9.56,1.65,-0.00,0.03,-0.01
2024-12-25 18:54:34,796,762,782,759,757,-2.02,-9.58,1.63,-0.02,0.01,0.01
2024-12-25 18:54:35,793,763,782,758,757,-2.07,-9.60,1.52,-0.05,0.05,-0.04
2024-12-25 18:54:35,795,761,783,758,758,-1.96,-9.70,1.87,-0.04,0.06,0.01
2024-12-25 18:54:35,794,763,782,759,756,-2.21,-9.55,1.63,-0.09,0.05,-0.02
2024-12-25 18:54:35,794,763,782,757,757,-2.03,-9.46,1.58,-0.02,0.06,-0.04
2024-12-25 18:54:35,794,761,783,759,756,-2.05,-9.69,1.85,-0.02,0.05,-0.00
