Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 18:58:42,778,883,920,847,797,-2.53,-8.60,6.05,-0.31,0.03,-0.02
2024-12-25 18:58:42,776,884,921,851,800,-1.34,-7.92,5.36,0.04,0.30,-0.09
2024-12-25 18:58:42,778,886,925,856,804,-1.99,-8.23,5.27,-0.01,0.08,0.08
2024-12-25 18:58:42,779,885,927,856,804,-2.97,-7.94,5.02,0.14,0.07,0.03
2024-12-25 18:58:42,778,883,923,853,801,-2.99,-8.07,6.03,-0.03,-0.01,-0.02
2024-12-25 18:58:42,778,882,925,855,803,-2.58,-8.05,5.58,-0.11,-0.01,0.01
2024-12-25 18:58:42,777,880,924,857,803,-2.73,-8.06,5.82,-0.02,0.07,0.06
2024-12-25 18:58:42,776,851,910,838,781,-2.96,-7.95,5.71,0.10,-0.05,0.05
2024-12-25 18:58:42,776,869,921,845,792,-2.86,-8.03,5.77,-0.12,0.01,-0.03
2024-12-25 18:58:42,780,887,929,863,809,-2.88,-8.07,5.61,-0.13,-0.00,-0.02
2024-12-25 18:58:42,777,882,927,860,809,-2.83,-8.11,5.44,0.06,-0.07,0.08
2024-12-25 18:58:42,779,873,924,853,801,-2.79,-7.93,5.32,-0.22,-0.06,0.02
2024-12-25 18:58:42,778,873,921,850,798,-2.91,-8.06,5.41,-0.08,-0.00,-0.06
2024-12-25 18:58:42,777,807,881,815,776,-2.72,-8.30,5.37,0.79,0.50,-0.17
2024-12-25 18:58:42,774,783,818,783,770,-3.25,-7.16,6.55,0.22,0.14,-0.09
2024-12-25 18:58:42,775,820,885,812,775,-2.49,-7.88,6.02,-0.36,0.11,-0.20
2024-12-25 18:58:42,779,879,921,846,799,-2.73,-7.99,5.75,-0.40,-0.12,0.01
2024-12-25 18:58:42,777,825,891,817,784,-2.60,-8.62,5.72,1.59,0.33,-0.05
2024-12-25 18:58:42,770,784,831,784,767,-2.75,-7.10,7.22,-0.17,0.23,-0.09
2024-12-25 18:58:42,775,832,883,810,776,-2.65,-7.68,6.50,-0.39,-0.04,0.04
2024-12-25 18:58:42,792,875,905,825,779,-3.00,-7.72,5.89,-0.08,0.02,0.11
2024-12-25 18:58:42,816,871,903,824,780,-3.14,-7.53,6.45,-0.10,-0.01,0.02
2024-12-25 18:58:42,830,876,906,827,781,-3.00,-7.74,5.91,-0.28,-0.08,0.00
2024-12-25 18:58:42,780,814,865,802,775,-3.00,-7.47,6.34,0.18,0.25,-0.14
2024-12-25 18:58:42,767,795,850,795,776,-3.24,-7.41,6.38,-0.07,0.05,-0.08
2024-12-25 18:58:42,778,805,859,801,776,-3.08,-7.17,6.14,-0.13,-0.08,-0.02
2024-12-25 18:58:42,794,815,865,802,776,-3.18,-7.51,6.29,-0.11,0.05,-0.16
2024-12-25 18:58:42,777,808,862,802,776,-2.79,-7.71,6.23,-0.08,0.03,-0.13
2024-12-25 18:58:42,776,841,897,819,779,-2.51,-8.11,6.24,-0.36,-0.06,-0.12
2024-12-25 18:58:42,782,873,918,847,799,-1.79,-8.98,5.00,-0.61,-0.16,-0.03
2024-12-25 18:58:42,790,882,928,850,797,-2.42,-8.61,4.42,-0.08,0.00,-0.06
2024-12-25 18:58:42,791,882,924,852,801,-2.15,-8.60,4.72,-0.02,0.02,-0.01
2024-12-25 18:58:42,791,881,923,853,799,-2.26,-8.67,4.71,-0.04,-0.03,-0.01
2024-12-25 18:58:42,792,881,922,850,797,-2.30,-8.57,4.81,-0.07,0.01,-0.04
2024-12-25 18:58:42,794,882,923,850,797,-2.26,-8.60,4.80,-0.04,0.01,-0.01
2024-12-25 18:58:42,795,882,923,848,798,-2.26,-8.68,4.76,-0.03,0.00,-0.02
2024-12-25 18:58:42,794,879,923,847,800,-2.29,-8.66,4.90,-0.04,-0.00,-0.01
2024-12-25 18:58:42,795,883,921,852,799,-3.54,-8.44,5.00,-0.12,0.15,0.15
2024-12-25 18:58:42,790,880,924,852,798,-2.61,-8.20,4.66,0.06,1.01,-0.19
2024-12-25 18:58:42,791,879,921,849,798,-2.21,-8.80,3.79,0.43,0.81,-0.41
2024-12-25 18:58:42,790,880,924,851,797,-2.14,-8.54,4.99,0.29,0.30,-0.16
2024-12-25 18:58:42,790,880,924,851,796,-2.59,-8.57,4.22,0.33,0.59,-0.38
2024-12-25 18:58:42,790,878,920,849,795,-2.68,-7.73,5.44,1.03,0.67,-0.10
2024-12-25 18:58:42,791,879,920,849,794,-4.32,-6.56,6.94,0.32,0.51,-0.63
2024-12-25 18:58:42,794,881,923,850,795,-1.54,-7.03,7.34,0.12,0.18,-0.36
2024-12-25 18:58:42,790,880,920,848,793,-2.29,-7.47,6.29,-0.01,-0.07,0.01
2024-12-25 18:58:42,793,879,921,848,793,-2.45,-7.54,6.40,-0.20,-0.00,-0.05
2024-12-25 18:58:42,790,880,919,846,792,-2.18,-7.69,6.50,-0.06,-0.01,0.01
2024-12-25 18:58:42,790,879,921,847,793,-2.25,-7.78,6.35,-0.11,-0.06,-0.07
2024-12-25 18:58:42,784,863,906,832,784,5.78,-4.43,10.32,1.66,-2.58,1.22
2024-12-25 18:58:42,776,796,825,783,772,-1.04,-5.38,7.85,-0.21,-1.51,2.78
2024-12-25 18:58:42,775,788,812,776,771,-3.72,-4.27,12.45,-0.04,-0.37,0.82
2024-12-25 18:58:42,776,792,822,783,774,-3.40,-5.32,8.10,-0.87,0.81,0.12
2024-12-25 18:58:42,779,796,821,785,773,-2.57,-0.02,6.93,1.03,0.11,0.05
2024-12-25 18:58:42,783,795,821,786,774,-2.75,-3.41,9.30,1.45,-0.37,-0.02
2024-12-25 18:58:42,781,796,823,786,773,-2.13,-2.91,11.83,0.93,0.16,-0.08
2024-12-25 18:58:42,779,797,823,787,774,-2.87,-0.13,10.18,-0.03,0.04,-0.07
2024-12-25 18:58:42,778,796,819,781,771,-1.63,-1.62,10.50,0.54,-0.18,-0.15
2024-12-25 18:58:42,777,825,852,793,771,-1.78,-1.16,10.04,-0.73,0.21,-0.15
2024-12-25 18:58:42,781,814,843,788,773,-1.68,-1.43,10.32,1.22,-0.02,0.01
2024-12-25 18:58:42,777,779,794,763,765,-1.87,0.14,10.82,0.54,0.13,0.01
