Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2024-12-25 19:02:29,789,771,785,784,776,-2.74,-1.30,9.97,-0.05,0.04,-0.07
2024-12-25 19:02:29,786,770,783,783,775,-3.31,-1.74,9.91,0.23,0.06,-0.20
2024-12-25 19:02:29,786,771,782,781,775,-2.25,-0.41,10.27,0.51,0.09,-0.30
2024-12-25 19:02:29,785,768,779,774,774,-2.48,0.54,10.55,0.48,-0.07,-0.15
2024-12-25 19:02:29,785,768,777,775,772,-2.23,0.69,10.08,0.02,-0.08,-0.03
2024-12-25 19:02:29,784,769,776,775,772,-2.48,0.61,10.12,0.03,0.02,0.01
2024-12-25 19:02:29,786,768,778,776,772,-2.48,0.53,10.30,-0.01,0.05,0.01
2024-12-25 19:02:29,786,772,779,779,773,-2.72,0.60,10.34,-0.09,0.08,0.05
2024-12-25 19:02:29,788,771,780,780,773,-1.98,0.31,10.16,0.02,0.06,0.02
2024-12-25 19:02:29,790,774,780,778,773,-2.54,0.78,10.63,-0.08,-0.03,-0.03
2024-12-25 19:02:29,788,774,780,780,773,-2.74,0.00,9.82,-0.02,-0.03,-0.06
2024-12-25 19:02:29,788,777,781,780,774,-1.95,0.60,10.75,0.05,0.02,-0.06
2024-12-25 19:02:29,788,774,782,780,774,-2.19,0.39,10.10,-0.03,0.00,0.16
2024-12-25 19:02:29,786,775,782,783,772,-2.34,0.57,10.34,0.00,0.02,0.02
2024-12-25 19:02:29,789,775,785,782,773,-2.08,0.80,10.34,0.01,0.05,-0.02
2024-12-25 19:02:29,787,774,783,784,773,-2.26,0.60,10.47,-0.05,-0.06,-0.10
2024-12-25 19:02:29,789,777,786,786,774,-2.21,0.47,10.26,-0.16,-0.03,-0.05
2024-12-25 19:02:29,788,778,784,784,772,-1.86,0.44,10.34,-0.68,-0.05,-0.05
2024-12-25 19:02:29,791,776,786,784,775,-2.12,-0.35,10.16,-0.00,0.14,-0.05
2024-12-25 19:02:29,787,774,780,780,775,-2.46,0.36,10.53,0.13,0.02,-0.02
2024-12-25 19:02:29,788,770,777,777,774,-2.47,-0.06,10.29,-0.07,0.16,-0.07
2024-12-25 19:02:29,786,770,778,776,775,-2.71,0.43,10.03,0.11,0.19,-0.21
2024-12-25 19:02:29,782,769,776,777,773,-2.94,0.40,9.89,0.09,0.00,-0.02
2024-12-25 19:02:29,782,769,777,776,773,-3.01,0.58,10.07,-0.07,-0.03,-0.02
2024-12-25 19:02:29,782,771,777,778,772,-2.87,0.29,10.32,-0.22,0.02,0.00
